날짜,Open,High,Low,Close,Volume
2024-06-10,35959,36277,35840,36068,3931359
2024-06-11,36138,36178,35914,36102,2986166
2024-06-12,36027,36420,36027,36420,2871741
2024-06-13,36868,37107,36669,36669,5980970
2024-06-14,36687,36926,36628,36791,6453955
2024-06-17,36607,36770,36507,36591,7370584
2024-06-18,36842,37037,36743,36976,4957484
2024-06-19,37315,37544,37281,37528,6693635
2024-06-20,37493,37761,37443,37676,4554899
2024-06-21,37379,37453,37150,37353,5879507
2024-06-24,37076,37180,36911,37070,4385000
2024-06-25,37079,37263,37034,37178,4440895
2024-06-26,36998,37484,36934,37484,6499480
2024-06-27,37098,37462,37014,37441,5531532
2024-06-28,37578,37662,37420,37662,5464801
2024-07-01,37506,37755,37473,37734,3871185
2024-07-02,37531,37684,37351,37465,5809863
2024-07-03,37622,37633,37304,37622,4938738
2024-07-04,37922,38125,37912,38125,6135626
2024-07-05,38324,38969,38314,38829,7030194
2024-07-08,38781,38910,38691,38701,4310959
2024-07-09,38944,38954,38606,38839,4998696
2024-07-10,38685,38880,38675,38824,3568126
2024-07-11,39134,39267,38944,39063,7653509
2024-07-12,38755,38822,38358,38526,5393047
2024-07-15,38740,38771,38417,38770,4472272
2024-07-16,38640,38914,38596,38794,7194159
2024-07-17,38795,38815,38446,38471,4825420
2024-07-18,37976,38189,37816,38189,5910322
2024-07-19,37765,37829,37468,37739,5773725
2024-07-22,37702,37747,37160,37363,5622861
2024-07-23,37639,37789,37386,37470,5093394
2024-07-24,37151,37517,37072,37250,6087450
2024-07-25,36711,36760,36427,36571,6242909
2024-07-26,36643,36877,36564,36767,3051300
2024-07-29,36998,37346,36892,37206,2616836
2024-07-30,36779,36936,36720,36859,5746963
2024-07-31,36856,37398,36784,37398,4041480
2024-08-01,37702,37730,37398,37428,5895257
2024-08-02,36527,36601,35762,35921,9059204
2024-08-05,34978,34978,31824,32625,26783719
2024-08-06,33924,34527,33184,33528,24172148
2024-08-07,33391,34655,33253,34294,11501477
2024-08-08,33700,34269,33507,34039,9957222
2024-08-09,34684,34714,34321,34504,8451639
2024-08-12,34752,35032,34678,34901,5740575
2024-08-13,35031,35204,34846,35019,4946949
2024-08-14,35454,35548,35244,35348,6365612
2024-08-16,36131,36272,35988,36186,8623301
2024-08-19,36293,36318,35719,35868,6867231
2024-08-20,36253,36396,36092,36226,5579077
2024-08-21,35993,36253,35988,36176,6908032
2024-08-22,36288,36337,36033,36231,5678111
2024-08-23,36008,36337,35993,36206,5878357
2024-08-26,36317,36361,35896,36015,4297838
2024-08-27,35980,35994,35740,35834,4469192
2024-08-28,35808,35897,35578,35897,6838233
2024-08-29,35333,35543,35224,35422,6619133
2024-08-30,35614,35713,35468,35607,5060165
2024-09-02,35605,35645,35179,35568,6548496
2024-09-03,35567,35724,35264,35269,5622202
2024-09-04,34199,34478,33983,34043,7311886
2024-09-05,34210,34514,33802,33990,5450666
2024-09-06,34012,34037,33444,33686,5268711
2024-09-09,32996,33585,32860,33459,6068319
2024-09-10,33477,33561,33203,33317,5320074
2024-09-11,33242,33267,32717,33003,5114380
2024-09-12,33454,33759,33395,33759,4656654
2024-09-13,33777,33983,33580,33832,4895998
2024-09-19,34032,34061,33315,33773,6160957
2024-09-20,34140,34331,33856,33856,7008173
2024-09-23,33950,34032,33821,33960,4735735
2024-09-24,34138,34366,33864,34366,6333306
2024-09-25,34684,34855,33861,33861,7900888
2024-09-26,34452,34999,34438,34999,7129946
2024-09-27,35083,35337,34858,34858,6902590
2024-09-30,35077,35146,34058,34058,7314271
2024-10-02,33507,34007,33443,33700,6240090
2024-10-04,33616,33979,33488,33686,6520091
2024-10-07,33767,34306,33522,34220,5748039
2024-10-08,33945,34061,33782,33960,4494008
2024-10-10,34234,34283,33974,34024,6604107
2024-10-11,34227,34384,34007,34067,5693759
