Date,Open,High,Low,Close,Volume
2024-06-10,11710,11900,11000,11730,86000
2024-06-11,11700,12090,11700,11890,49165
2024-06-12,12100,12400,11800,12180,122860
2024-06-13,12190,12390,12100,12160,75037
2024-06-14,12160,12920,12140,12590,330981
2024-06-17,12650,12820,12350,12390,112056
2024-06-18,12820,13190,12470,12620,392302
2024-06-19,12610,12700,12080,12120,132372
2024-06-20,12090,12230,11960,12020,55456
2024-06-21,12030,12030,11550,11700,107610
2024-06-24,11700,11750,11070,11270,139619
2024-06-25,11280,13160,11050,11740,2358570
2024-06-26,11710,12170,11300,11560,261842
2024-06-27,11470,11640,11300,11350,116961
2024-06-28,11450,11770,11390,11670,66610
2024-07-01,11670,11990,11470,11560,82551
2024-07-02,11560,11630,11210,11310,53354
2024-07-03,11340,11410,11080,11210,90612
2024-07-04,11320,11380,10940,10980,120347
2024-07-05,11000,11250,11000,11210,56250
2024-07-08,11280,11420,11200,11260,56894
2024-07-09,11260,11340,11080,11090,31642
2024-07-10,11100,11310,11100,11210,23886
2024-07-11,11210,11290,11080,11100,33176
2024-07-12,11020,11260,11020,11240,26977
2024-07-15,11240,11330,11110,11220,26082
2024-07-16,11400,11500,11050,11100,70598
2024-07-17,11100,11200,11060,11110,28162
2024-07-18,11110,11110,10850,11060,61104
2024-07-19,11100,11120,10930,11120,74314
2024-07-22,11120,11190,10900,11050,41785
2024-07-23,11050,11150,10950,10990,32889
2024-07-24,11080,11400,10970,11020,81004
2024-07-25,10970,11000,10770,10830,52119
2024-07-26,10830,10950,10740,10750,59322
2024-07-29,10820,11000,10760,10940,38003
2024-07-30,10940,10970,10650,10790,33109
2024-07-31,10790,11000,10780,10870,34510
2024-08-01,10850,11070,10790,11000,28231
2024-08-02,10990,10990,10580,10680,36292
2024-08-05,10560,10570,7820,8980,123634
2024-08-06,8500,9780,8500,9570,62210
2024-08-07,9520,9900,9520,9800,23278
2024-08-08,9550,9850,9460,9730,41910
2024-08-09,9760,10070,9760,9870,19424
2024-08-12,9750,10190,9750,10080,11968
2024-08-13,10150,10150,9770,9870,29017
2024-08-14,9920,10200,9920,10170,20140
2024-08-16,10180,10210,10020,10150,15278
2024-08-19,10260,10290,9840,10040,25146
2024-08-20,10070,10640,10070,10610,44077
2024-08-21,10650,10650,10140,10400,25486
2024-08-22,10400,10500,10110,10240,34837
2024-08-23,10240,10600,10090,10520,14910
2024-08-26,10480,10600,10010,10350,53247
2024-08-27,10300,10320,10040,10100,48163
2024-08-28,10100,10220,9990,10030,13061
2024-08-29,10090,10090,9850,10010,11941
2024-08-30,10010,10140,9980,10110,32947
2024-09-02,10110,10120,9860,10070,18719
2024-09-03,9990,10180,9990,10030,22022
2024-09-04,9850,9850,9610,9690,20001
2024-09-05,9690,9940,9590,9920,26056
2024-09-06,9790,9920,9440,9610,31722
2024-09-09,9180,9800,9180,9760,31692
2024-09-10,9660,9800,9440,9620,10261
2024-09-11,9620,9760,9590,9600,14257
2024-09-12,9610,9880,9610,9820,16798
2024-09-13,9860,10300,9650,10200,17674
2024-09-19,10200,10200,9910,10130,16991
2024-09-20,10150,10290,10070,10110,84145
2024-09-23,10120,10220,10060,10180,31769
2024-09-24,10100,10250,10060,10160,17464
2024-09-25,10220,10280,10120,10210,28391
2024-09-26,10170,10290,10140,10270,20592
2024-09-27,10300,10390,10210,10350,18460
2024-09-30,10370,10410,10010,10060,29062
2024-10-02,9960,10040,9810,9900,11754
2024-10-04,9920,10070,9860,10070,10523
2024-10-07,10080,10250,9980,10220,16714
2024-10-08,10080,10170,10000,10130,14294
2024-10-10,10130,10310,10020,10290,21970
2024-10-11,10330,10350,10060,10140,16414
2024-10-14,10100,10140,10000,10110,7610
2024-10-15,10110,10250,10070,10210,34621
2024-10-16,10210,10270,9960,10080,25555
2024-10-17,10080,10140,9990,10050,12121
2024-10-18,10000,10080,9880,9990,20198
2024-10-21,9990,10100,9900,9980,17257
2024-10-22,10020,11400,9690,9690,557106
2024-10-23,9620,9950,9520,9820,62116
2024-10-24,9790,9820,9660,9680,23705
2024-10-25,9670,9980,9600,9920,35208
2024-10-28,9840,10300,9750,9870,60511
2024-10-29,9870,9910,9650,9750,47651
2024-10-30,9750,10010,9750,9830,22849
2024-10-31,9840,9840,9650,9800,13251
2024-11-01,9700,9790,9620,9630,11621
2024-11-04,9630,9870,9610,9850,17239
2024-11-05,9850,9950,9750,9900,15829
2024-11-06,9900,9980,9690,9740,9449
2024-11-07,9700,9770,9600,9720,9544
2024-11-08,9720,9860,9700,9700,13358
2024-11-11,9700,9750,9330,9480,25771
2024-11-12,9500,9550,9090,9200,65282
2024-11-13,9090,9270,8900,8910,36288
2024-11-14,8960,9130,8840,8910,28176
2024-11-15,8910,8950,8600,8910,50973
2024-11-18,8910,9050,8900,9010,19125
2024-11-19,9010,9320,8970,9320,22045
2024-11-20,9320,9350,9130,9220,15584
2024-11-21,9210,9210,9100,9190,9319
2024-11-22,9140,9320,9140,9240,16559
2024-11-25,9290,9350,9170,9270,30926
